,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Cleantext
138706,150524,0006641040,ACITT7DI6IDDL,shari zychinski,0,0,1,939340800,EVERY book is educational,"this witty little book makes my son laugh at loud. i recite it in the car as we're driving along and he always can sing the refrain. he's learned about whales, India, drooping roses:  i love all the new words this book  introduces and the silliness of it all.  this is a classic book i am  willing to bet my son will STILL be able to recite from memory when he is  in college",witty little book make son laugh loud remit car drive along always sing refrain learn whale india droop rose love new word introduce silly classic will bet still all memory college
138688,150506,0006641040,A2IW4PEEKO2R0U,Tracy,1,1,1,1194739200,"Love the book, miss the hard cover version","I grew up reading these Sendak books, and watching the Really Rosie movie that incorporates them, and love them. My son loves them too. I do however, miss the hard cover version. The paperbacks seem kind of flimsy and it takes two hands to keep the pages open.",grew read sendak book watch really rosi move incorpor love son howe miss hard cover version paperback seem kind flimsy take two hand keep page open
138689,150507,0006641040,A1S4A3IQ2MU7V4,"sally sue ""sally sue""",1,1,1,1191456000,chicken soup with rice months,This is a fun way for children to learn their months of the year!  We will learn all of the poems throughout the school year.  they like the handmotions which I invent for each poem.,fun way children learn month year poem throughout school like handout invent
138690,150508,0006641040,AZGXZ2UUK6X,"Catherine Hallberg ""(Kate)""",1,1,1,1076025600,a good swingy rhythm for reading aloud,"This is a great little book to read aloud- it has a nice rhythm as well as good repetition that little ones like, in the lines about ""chicken soup with rice"".  The child gets to go through the months of the year and go to wonderful places like Bombay and down the Nile, all the while, eating, well, you know what they get to eat.  Some kids will have Maurice Sendak's version of ice skating or how to treat roses in their heads for a long time and they won't even know where it came from.  Surprise!  It came from this little witty book.  :-)",great little book read aloud nice rhythm well good repeat one like line chicken soup rice child get go month year wonder place bombay nile eat know kid maurice sendak version ice skate treat rose head long time even came surprise witty
138691,150509,0006641040,A3CMRKGE0P909G,Teresa,3,4,1,1018396800,A great way to learn the months,This is a book of poetry about the months of the year.  It goes through each month and has a cute little poem to go along with it.  I love this book because it is a really fun way to learn the months and the poems are very creative. The author's purpose for writing this book was to give children a fun way to learn the months.  The children can also learn things about poetry and rhythm through reading this book.,book poetry month year got cute little poem go along love really fun way learn creative author purpose write give children also thing rhythm read
138693,150511,0006641040,A1C9K534BCI9GO,Laura Purdie Salas,0,0,1,1344211200,Charming and childlike,"A charming, rhyming book that describes the circumstances under which you eat (or don't) chicken soup with rice, month-by-month. This sounds like the kind of thing kids would make up while they're out of recess and sing over and over until they drive the teachers crazy. It's cute and catchy and sounds really childlike but is skillfully written.",charm rhyme book describe circuit eat chicken soup rice month sound like kind thing kid would make recess sing drive teacher crazy cute catch really childlike skill written
138694,150512,0006641040,A1DJXZA5V5FFVA,A. Conway,0,0,1,1338249600,Must have.,"I set aside at least an hour each day to read to my son (3 y/o). At this point, I consider myself a connoisseur of children's books and this is one of the best. Santa Clause put this under the tree. Since then, we've read it perpetually and he loves it.<br /><br />First, this book taught him the months of the year.<br /><br />Second, it's a pleasure to read. Well suited to 1.5 y/o old to 4+.<br /><br />Very few children's books are worth owning. Most should be borrowed from the library. This book, however, deserves a permanent spot on your shelf. Sendak's best.",set said least hour day read son point consider connoisseur children book one best santa claus put tree since perpetual love first taught month year second pleasure well suit old worth own borrow library howe desert german spot shelf sendak
138695,150513,0006641040,ASH0DZQQF6AIZ,tessarat,0,0,1,1325721600,A classic,I remembered this book from my childhood and got it for my kids.  It's just as good as I remembered and my kids love it too.  My older daughter now reads it to her sister.  Good rhymes and nice pictures.,remem book childhood got kid good love older daughter read sister rhyme nice picture
138696,150514,0006641040,A2ONB6ZA292PA,Rosalind Matzner,0,0,1,1313884800,Chicken soup with Rice,"It's a great book with adorable illustrations.  A true classic.  Kids love the poem and there is music that goes with it, if you can find it.  I think it's sung by Carol King.",great book adore illusory true classic kid love poem music got find think sung carol king
138697,150515,0006641040,A2RTT81R6Y3R7X,Lindylu,0,0,1,1303171200,One of our family's favorite books,This book is a family favorite and was read to my children over and over again when they were small.  We ordered it for a new mom-to-be so that she and her family can enjoy it too!,book family favorite read children small order new mom enjoy
